ID #,Location,Type,Serial #,Description,Cal. Date,Cal. due Date,Comment,Owner
50PROBE01,QC Lab,Thermometer,210152050,Ultra-Low Temperature WIFI Data Logger,2023-11-16,2024-11-30,,Andy
50PROBE02,QC Lab,Thermometer,210151995,Ultra-Low Temperature WIFI Data Logger,2023-11-16,2024-11-30,,Andy
50PROBE03,QC Lab,Thermometer,210152045,Ultra-Low Temperature WIFI Data Logger,2023-11-16,2024-11-30,,Andy
50PROBE04,QC Lab,Thermometer,210152019,Ultra-Low Temperature WIFI Data Logger,2023-11-16,2024-11-30,,Andy
50PROBE05,QC Lab,Thermometer,210152052,Ultra-Low Temperature WIFI Data Logger,2023-11-16,2024-11-30,,Andy
50PROBE06,QC Lab,Thermometer,210151988,Ultra-Low Temperature WIFI Data Logger,2023-11-16,2024-11-30,,Andy
50PROBE07,QC Lab,Thermometer,210152053,Ultra-Low Temperature WIFI Data Logger,2023-11-16,2024-11-30,,Andy
50PROBE08,QC Lab,Thermometer,210152049,Ultra-Low Temperature WIFI Data Logger,2023-11-16,2024-11-30,,Andy
50PROBE09,QC Lab,Thermometer,210151998,Ultra-Low Temperature WIFI Data Logger,2023-12-04,2024-12-31,,Andy
CAL-1,RM 138,Caliper,211091822,Digital Caliper,,2023-12-22,,David R.
CAL-2,RM 114,Caliper,2400341115,Digital Caliper,2024-01-10,2026-01-10,,
DL-01,RM 111,Thermometer,200273149,TraceableLive WIFI Thermometer (STB-4),2022-03-28,2023-03-28,,
DL-02,RM 119,Thermometer,200540751,TraceableLive WIFI Thermometer (STB-5),2022-03-29,2023-03-29,,
DL-03,RM 119,Thermometer,200540747,TraceableLive WIFI Thermometer (STB-6/STB-7),2022-03-30,2023-03-30,,
DL-04,RM 119,Thermometer,200540753,TraceableLive WIFI Thermometer (STB-9),2022-03-31,2023-03-31,,
DL-05,RM 119,Thermometer,200540767,TraceableLive WIFI Thermometer (STB-8),2022-04-01,2023-04-01,,
DL-06,RM 111,Hygrometer, 200383924,TraceableLive WIFI Hygrometer (STB-1),2022-04-02,2023-04-02,,
DL-07,RM 114,Hygrometer,200383927,TraceableLive WIFI Hygrometer,2023-11-16,2024-11-30,,
DL-08,RM 114,Hygrometer,211076196,TraceableLive WIFI Hygrometer,2023-09-18,2024-09-30,,
DL-09,RM 114,Hygrometer,200286762,TraceableLive WIFI Hygrometer (Finish Product RM) ,2022-04-05,2023-04-05,,
DL-10,RM 108,Hygrometer,200286759,TraceableLive WIFI Hygrometer (Raw Material RM),2023-09-18,2024-09-30,,
DL-11,RM 119,Thermometer,221647563,TraceableLive WIFI Thermometer (STB-10),2023-07-13,2024-07-13,,
